买方客户,得分
999800037474CF,24
999800039481SR,60
999800026449CF,31.8
999800012311CF,36
999800001129SR,42
999800036557SR,60
999800037565CF,43.8
999800029355CF,48.5554
999800026775SR,60
999800038071CF,19.8
999800031161CF,24
999800005127SR,42
999800032706CF,31.8
999800007749CF,37.8667
999800008883SR,60
999800029845SR,36
999800004906SR,48
999800030566SR,60
999800041897SR,54
999800034047SR,60
999800047048CF,38.2579
999800034236CF,48
999800045199SR,24
999800044249CF,36
999800048423SR,60
999800032860CF,31.8
999800032215CF,43.8
999800024923SR,42
999800018252SR,36
999800043170CF,55.8
999800046830CF,55.8
999800018797CF,46.125
999800022567CF,60
999800021717CF,48
999800018683CF,43.8
999800028138CF,43.8
999800027070CF,43.8
999800011111SR,42
999800030839SR,42
999800045037SR,36
999800043848CF,48
999800006532SR,60
999800048571SR,42
999800027757SR,36
999800003229SR,36
999800036807CF,41.2632
999800024450CF,36
999800047492CF,40.2
999800025134CF,31.8
999800009325CF,55.8
999800036677CF,19.8
999800041923CF,31.8
999800047354CF,39.6
999800026402CF,43.8
999800002536SR,36
999800021321SR,24
999800035006SR,60
999800038842SR,60
999800040571SR,60
999800040251CF,31.8
999800044684SR,36
999800001539CF,36
999800017149SR,48
999800018953CF,43.8
999800004102CF,43.8
999800014527SR,60
999800038564CF,48
999800009300CF,19.8
999800037177CF,31.8
999800037250SR,24
999800003364CF,36
999800006431CF,39.6
999800004489CF,52.2
999800002713CF,43.8
999800040506SR,60
999800010190CF,31.8
999800040031CF,48
999800045293CF,31.8
999800018487SR,60
999800047350SR,24
999800023983SR,36
999800019268CF,48
999800010126CF,31.8
999800034143SR,42
999800042468SR,42
999800025727CF,43.8
999800047111CF,24
999800048412CF,31.8
999800019638CF,31.8
999800047564SR,42
999800000422CF,55.8
999800005326CF,48
999800036515CF,31.8
999800018727CF,36
999800032040CF,55.8
999800049085CF,27.6
999800031761SR,36
999800002259CF,43.8
999800030346CF,31.8
999800017450SR,60
999800032109CF,48
999800037055SR,60
999800013997CF,36
999800042688CF,19.8
999800041345CF,48
999800002492CF,43.8
999800022373CF,52.2
999800009008CF,23.5729
999800006944CF,41.6062
999800040613CF,43.8
999800013875SR,60
999800034137CF,39.6
999800012324CF,39.6
999800027052SR,60
999800035047CF,43.0364
999800019689CF,27.6
999800034680SR,24
999800007139CF,27.6
999800040088SR,60
999800019565SR,42
999800019513SR,54
999800007069SR,24
999800017395CF,39.6
999800012417CF,31.8
999800027995CF,24.0706
999800018254CF,39.6
999800005967SR,30
999800016704SR,0
999800026174CF,31.8
999800027029CF,56.6542
999800001325CF,55.8
999800028948CF,52.2
999800035969CF,31.8
999800014108CF,27.6
999800015808SR,42
999800019480CF,43.8
999800034451CF,32.4
999800045526CF,39.6
999800003463CF,55.8
999800029792CF,52.2
999800025781SR,60
999800018575CF,39.6
999800039004CF,43.8
999800037041SR,48
999800001212CF,43.8
999800026469CF,43
999800016198CF,19.8
999800003720CF,24
999800005098SR,60
999800021441CF,24
999800024733CF,24
999800024786SR,42
999800023776CF,36
999800016063SR,36
999800010687CF,60
999800043093SR,60
999800008064CF,19.8
999800040258CF,43.8
999800031250CF,36
999800047574CF,19.8
999800038389SR,42
999800011610SR,0
999800014976SR,42
999800042988CF,48
999800045344SR,54
999800026048CF,43.8
999800009822CF,31.8
999800007062SR,36
999800005343CF,27.6
999800000834SR,60
999800001854CF,55.8
999800048338SR,60
999800038553CF,27.6
999800033519SR,36
999800040663CF,19.8
999800036835CF,24.7636
999800013066CF,48
999800017751SR,42
999800030608SR,36
999800004801CF,36
999800019248CF,43.8
999800038966CF,16.2
999800037558CF,19.8
999800021349CF,39.6
999800012785CF,40.2
999800033096SR,60
999800044392SR,54
999800047565CF,55.8
999800001183CF,25.8
999800037100SR,36
999800017953SR,36
999800038743CF,19.8
999800002238SR,54
999800032162CF,40.2
999800005955CF,39.6
999800047734CF,42.878
999800046760CF,43.8
999800002473CF,48
999800046001SR,42
999800039984CF,43.8
999800030655CF,40.2
999800004124CF,31.8
999800044711CF,31.8
999800031244SR,60
999800008906CF,19.8
999800021290SR,60
999800023627SR,36
999800008581SR,48
999800038584CF,48
999800034041SR,36
999800006705SR,42
999800015357SR,36
999800020429CF,27.6
999800037619CF,41.087
999800002812CF,55.8
999800002560SR,60
999800030182CF,36
999800025126CF,52.2
999800032642SR,24
999800035067CF,43.8
999800015427CF,55.8
999800038350CF,36
999800019189CF,52.2
999800040092SR,0
999800007076CF,33.975
999800038498CF,36
999800047349CF,36
999800014357CF,31.8
999800005783CF,19.8
999800019535SR,24
999800022610SR,60
999800031240CF,19.8
999800029851SR,60
999800022574CF,43.8
999800015666CF,43.8
999800039993CF,55.8
999800006864CF,36
999800004755SR,36
999800045118CF,36
999800036656SR,42
999800029924SR,30
999800003232CF,19.8
999800044250CF,19.8
999800041437CF,55.8
999800030646SR,36
999800044818SR,60
999800038653SR,60
999800032091CF,48
999800016375CF,19.8
999800018353CF,19.8
999800040425CF,43.8
999800028818CF,55.8
999800011486CF,48
999800041921CF,39.6
999800000103CF,19.8
999800000193CF,19.8
999800041375CF,39.6
999800027170CF,19.8
999800012398SR,18
999800018369CF,19.8
999800011906SR,36
999800042332CF,36
999800037711SR,48
999800026439CF,19.8
999800034021CF,51
999800014819SR,24
999800034831SR,0
999800012615CF,31.0087
999800033048SR,60
999800038826SR,24
999800021202SR,30
999800015124CF,48
999800037058CF,50.9368
999800014602SR,60
999800033216SR,36
999800001984SR,60
999800039809SR,36
999800041444CF,43.8
999800019296CF,48
999800030915CF,21.2
999800006249SR,60
999800030584SR,36
999800027114CF,36
999800005366CF,48
999800006196CF,43.8
999800025467CF,19.8
999800011338CF,43.8
999800002709SR,36
999800024758CF,43.8
999800002986SR,60
999800005476CF,39.6
999800043968SR,58.1143
999800047540CF,55.8
999800034495SR,30
999800047020SR,36
999800002756CF,31.8
999800024180SR,42
999800015621SR,36
999800025268CF,39.5769
999800015477SR,24
999800013089CF,36
999800044266CF,39.6
999800006813CF,36
999800017097SR,42
999800019308SR,60
999800049139SR,0
999800036659CF,55.8
999800019257CF,31.8
999800010295CF,48
999800023764CF,39.6
999800002970SR,42
999800046099SR,54
999800034769CF,39.6
999800002180SR,30
999800011990CF,39.6
999800039182SR,42
999800015248CF,19.8
999800016594CF,36
999800036434CF,40.2
999800019249CF,37.2183
999800029034CF,43.8
999800038897CF,36
999800000475CF,39.6
999800047004SR,24
999800043039CF,36
999800045344CF,40.2
999800045106SR,60
999800001652SR,60
999800014715SR,36
999800040154CF,36
999800009990CF,55.8
999800023199CF,24.4179
999800033218CF,52.2
999800033661CF,31.8
999800037927CF,48
999800005739SR,18
999800035095SR,36
999800020199CF,31.8
999800044947SR,42
999800003062CF,55.8
999800038404CF,16.2
999800006346CF,24
999800028027CF,31.8
999800006724CF,48
999800008807CF,40.2
999800014909SR,60
999800001367CF,31.8
999800008400SR,24
999800017182CF,43.8
999800010276SR,60
999800010949CF,31.8
999800046457CF,16.2
999800016395CF,31.8
999800031828SR,42
999800042109SR,24
999800000998CF,37.3448
999800020652CF,43.8
999800005838CF,39.6
999800037498CF,0
999800012158CF,48
999800028889CF,43.8
999800022556CF,31.8
999800020257SR,36
999800032553CF,42.1565
999800009398CF,31.8
999800024851SR,30
999800043869CF,48
999800012333CF,48
999800034776SR,36
999800019384CF,31.8
999800040184CF,22.7176
999800003189CF,43.8
999800011366CF,48
999800013614SR,60
999800015136CF,19.8
999800015733CF,43.8
999800048560SR,48
999800000787SR,48
999800028475CF,36
999800048295CF,36
999800045093CF,19.8
999800031762SR,18
999800004297CF,54.3205
999800041918SR,36
999800005556CF,36
999800013505CF,43.8
999800005072CF,27.6
999800032533CF,20.4
999800039237CF,39.6
999800006550CF,27.6
999800047412SR,36
999800029741CF,39.6
999800009057CF,24
999800010309CF,27.6
999800049463CF,0
999800007409CF,24
999800030575CF,52.2
999800026188CF,19.8
999800023584SR,60
999800018476SR,60
999800009998CF,52.2
999800043748SR,42
999800001639CF,48
999800037022CF,39.6
999800049129SR,0
999800016240CF,19.8
999800020123SR,24
999800034976CF,48
999800028946SR,60
999800048929CF,48
999800027081SR,54
999800031140CF,43.8
999800046309CF,48
999800033441CF,19.8
999800016739CF,37.1277
999800005410SR,24
999800028393CF,24
999800041412CF,19.8
999800046977SR,36
999800015929CF,52.2
999800041553SR,42
999800047160CF,39.6
999800012083CF,36
999800029569CF,19.8
999800015613CF,19.8
999800047529CF,55.8
999800038810CF,24
999800002291SR,60
999800046020CF,48
999800042939SR,42
999800016675CF,60
999800012151CF,36
999800010212CF,39.6
999800002547CF,36
999800002608CF,19.8
999800005007CF,19.8
999800004267SR,24
999800027540CF,39.6
999800013686CF,31.8
999800034509CF,36
999800000957SR,54
999800037846CF,36
999800038445CF,31.8
999800046206SR,18
999800047850SR,60
999800012198SR,42
999800025131SR,24
999800027858CF,55.8
999800039547CF,19.8
999800004342CF,19.8
999800005371CF,27.6
999800043625CF,43.8
999800004033SR,42
999800026279CF,52.2
999800033180CF,48
999800000475SR,42
999800007226CF,31.8
999800045476CF,55.8
999800021997CF,40.2
999800017020SR,60
999800000778CF,43.8
999800039681CF,52.2
999800044072CF,31.8
999800001635CF,52.2
999800022673CF,19.8
999800045712SR,60
999800009440CF,43.8
999800012911SR,36
999800005334SR,24
999800008223SR,60
999800047576CF,55.8
999800001817CF,52.2
999800038502SR,54
999800029936SR,60
999800037621SR,42
999800008239CF,55.8
999800045795CF,31.8
999800031389CF,48
999800024469CF,38.7677
999800018532SR,42
999800008136SR,0
999800010160SR,36
999800029959CF,39.6
999800025726SR,36
999800014972CF,31.8
999800015587CF,48.588
999800048748CF,39.1667
999800046923SR,42
999800042556CF,48
999800043801SR,36
999800005894CF,43.8
999800030021CF,16.2
999800004445CF,19.8
999800048615SR,36
999800024530CF,43.8
999800029673CF,39.6
999800039384CF,43.8
999800035174CF,60
999800009596CF,37.6759
999800013958CF,39.6
999800000690CF,40.2
999800022113SR,36
999800049374CF,0
999800006474CF,43.8
999800046828CF,40.2
999800010699SR,42
999800009813CF,22.2316
999800023027CF,39.6
999800039034CF,55.8
999800021615CF,39.6
999800033638CF,40.2
999800020437SR,60
999800010188SR,36
999800043863CF,36
999800014542CF,36
999800037210CF,31.8
999800038117SR,30
999800025999CF,19.8
999800039139CF,40.2
999800035804CF,31.8
999800039257CF,36
999800038150SR,54
999800048305SR,42
999800030121CF,31.8
999800033259CF,31.8
999800005100CF,55.8
999800028717CF,40.2
999800020504CF,36
999800006827CF,43.8
999800028172SR,60
999800042626CF,24
999800032765CF,48
999800046106SR,36
999800035348SR,30
999800003455CF,48
999800036270SR,54
999800049002CF,50.4
999800039932SR,36
999800024676SR,24
999800036961CF,19.8
999800040845SR,24
999800021358SR,24
999800028281CF,39.6
999800002090CF,52.2
999800002778CF,39.6
999800032843CF,36
999800025231CF,43.8
999800006992SR,24
999800016295SR,42
999800004087CF,19.8
999800024255CF,25.4131
999800025933CF,31.8
999800024866CF,36
999800025435CF,19.8
999800046567SR,42
999800017128CF,19.8
999800008985CF,19.8
999800025813CF,36
999800002660CF,27.0692
999800048449SR,42
999800009032CF,28.2
999800012138SR,54
999800028038SR,36
999800005317CF,55.8
999800001366CF,39.6
999800000898CF,20.224
999800003480CF,39.6
999800034662CF,19.8
999800043751CF,43.8
999800049087CF,52.2
999800022828SR,60
999800039909CF,31.8
999800039200CF,19.8
999800031278SR,42
999800011968CF,48
999800042143SR,0
999800015695SR,60
999800019110SR,24
999800048396CF,22.635
999800038122CF,19.8
999800006109CF,39.6
999800008285CF,31.8
999800033674CF,52.2
999800027751SR,0
999800014722CF,36
999800028996CF,43.8
999800017475SR,0
999800044917CF,31.8
999800047127SR,60
999800002405SR,24
999800033168SR,0
999800001728CF,43.8
999800037194CF,43.8
999800015631CF,31.8
999800029520CF,39.6
999800027045CF,31.8
999800010646CF,48
999800002898SR,60
999800023654CF,20.4
999800037288CF,43.8
999800021533SR,30
999800005598SR,24
999800001257SR,60
999800039517SR,42
999800012704CF,16.2
999800035329CF,40.2
999800003054SR,36
999800035241CF,31.8
999800034481SR,36
999800009361SR,18
999800001884CF,43.8
999800017583CF,31.8
999800005714CF,31.8
999800046839CF,36
999800032662SR,36
999800011523CF,31.0323
999800017922CF,39.6
999800023000CF,43.8
999800034530CF,36
999800043448CF,28.0582
999800041426CF,31.8
999800004129CF,31.8
999800010267CF,19.8
999800018069SR,36
999800022821CF,19.8
999800044306CF,42.893
999800006431SR,42
999800044485SR,24
999800023918SR,60
999800023702SR,54
999800041552CF,31.8
999800022043SR,24
999800023458CF,27.6
999800006543CF,19.8
999800002143SR,60
999800004163SR,42
999800003125CF,31.8
999800013884CF,39.9379
999800030032SR,60
999800034281CF,39.6
999800037300SR,60
999800015009CF,31.8
999800045277CF,36
999800042557CF,19.8
999800012974SR,0
999800038299CF,36
999800036020CF,36
999800033876CF,31.8
999800034825CF,39.6211
999800011752SR,42
999800007454SR,60
999800044456SR,36
999800041299CF,27.6
999800039793SR,54
999800002975SR,42
999800024414CF,27.6
999800025072CF,28.2
999800008872CF,55.8
999800004483CF,55.8
999800012839CF,31.8
999800039676SR,36
999800026094CF,31.8
999800016445CF,55.8
999800039141CF,19.8
999800015966CF,43.8
999800025198CF,19.8
999800014849SR,24
999800007494CF,43.8
999800015376SR,60
999800015988CF,39.6
999800036084SR,36
999800020530CF,39.6
999800003090CF,31.8
999800003536CF,52.2
999800006340CF,19.8
999800035524SR,60
999800019948SR,42
999800024028CF,43.8
999800004224SR,18
999800003802CF,33.96
999800030811SR,42
999800024973CF,24
999800029114SR,42
999800049028CF,32.4833
999800026505SR,60
999800046722CF,55.8
999800026248SR,0
999800022339CF,27.6
999800002886CF,32.4
999800022083CF,52.2
999800028891SR,24
999800024086CF,39.6
999800001644SR,30
999800024473CF,24
999800030018SR,60
999800022093CF,19.8
999800034636CF,0
999800041446SR,60
999800000159CF,52.2
999800042016SR,30
999800024872CF,19.8
999800038349SR,24
999800005192CF,55.8
999800024712CF,43.8
999800020740SR,60
999800048300SR,0
999800035975CF,19.8
999800019192CF,19.8
999800018921SR,42
999800006951SR,36
999800042993CF,43.8
999800041826CF,16.2
999800033896CF,39.6
999800034768CF,43.8
999800009275SR,60
999800010608CF,55.8
999800006262SR,42
999800003440CF,55.8
999800000472CF,19.8
999800023845SR,30
999800030639CF,36
999800005748CF,19.8
999800002081CF,19.8
999800042035CF,20.4
999800026551CF,39.6
999800013251CF,19.8
999800036367SR,36
999800019834CF,19.8
999800002760SR,60
999800004981SR,42
999800004416CF,39.6
999800045770CF,40.2
999800037725SR,42
999800048090CF,42.9789
999800037757SR,42
999800037395CF,27.6
999800016490CF,43.8
999800016964SR,60
999800010270SR,42
999800043785CF,39.6
999800021820SR,60
999800012171CF,19.8
999800027723CF,19.8
999800019664SR,42
999800001686CF,31.8
999800036316SR,42
999800036826SR,60
999800005429CF,52.2
999800042948CF,55.8
999800046823CF,43.8
999800022141CF,36
999800039032CF,55.8
999800021740SR,42
999800016269CF,48
999800003948CF,40.2
999800043703CF,39.6
999800000567CF,48
999800046456SR,36
999800033844CF,48
999800013219CF,53.8085
999800035072CF,48
999800038231CF,19.8
999800025772CF,48
999800039487SR,42
999800033735CF,40.2
999800005285CF,55.8
999800047593SR,42
999800018110SR,24
999800008237CF,43.8
999800048364CF,39.6
999800003654SR,18
999800017300CF,34.7505
999800034738SR,60
999800047309CF,16.2
999800000786CF,40.2
999800037531SR,24
999800012149CF,40.2
999800032975CF,55.8
999800016536CF,40.2
999800015425SR,36
999800012185CF,43.8
999800025568CF,52.2
999800037237CF,52.2
999800049846SR,0
999800048823CF,19.8
999800023359SR,36
999800034767CF,39.6
999800029183SR,42
999800036342CF,40.42
999800010256CF,48
999800026729CF,43.8
999800014529CF,48
999800034563CF,39.6
999800040252CF,39.6
999800002821CF,60
999800008037SR,42
999800013570CF,52.2
999800000930SR,54
999800027502CF,43.8
999800046883CF,19.8
999800035185CF,28.2
999800047438CF,55.8
999800012327CF,36
999800014475SR,36
999800015852CF,31.8
999800035575CF,30.5382
999800016293CF,19.8
999800005559CF,36.9429
999800021916SR,42
999800030774CF,36
999800033506CF,48
999800035542CF,43.8
999800024428CF,36
999800033833CF,48
999800005973CF,36
999800045900SR,36
999800007585CF,41.4338
999800024472SR,36
999800045072SR,36
999800033957CF,36
999800020331SR,42
999800047772CF,19.8
999800047761CF,19.8
999800009059SR,36
999800039901SR,60
999800002847SR,36
999800010515CF,19.8
999800040152CF,27.6
999800016725CF,55.8
999800010785CF,36
999800033693CF,43.8
999800006683CF,55.8
999800017656CF,36
999800015278SR,24
999800001918CF,36
999800018522SR,24
999800047096CF,43.8
999800015455SR,36
999800044632CF,19.8
999800046656CF,36
999800037598CF,31.8
999800021265CF,31.8
999800049037CF,31.8
999800022939CF,19.8
999800013292CF,39.6
999800004427CF,36
999800032005CF,48
999800038539CF,36
999800023632CF,42.3273
999800013416CF,43.8
999800047379CF,31.8
999800016222CF,40.2
999800034797CF,48
999800047858SR,42
999800035802SR,60
999800023217SR,60
999800001061SR,60
999800041850CF,39.6
999800003315CF,43.8
999800041840CF,55.8
999800013886CF,19.8
999800030900CF,36
999800008885CF,49.6355
999800036417CF,60
999800020736SR,54
999800032146CF,43.8
999800018430CF,43.8
999800017561SR,0
999800048675SR,54
999800017061CF,55.8
999800034081CF,60
999800008101CF,31.8
999800024526CF,39.6
999800006965SR,60
999800020875SR,42
999800007324CF,46.8514
999800012613CF,36
999800000038CF,43.8
999800004364SR,42
999800011568CF,19.8
999800032695CF,48
999800007637SR,24
999800032092CF,36
999800040975CF,55.8
999800026858SR,42
999800047601CF,19.8
999800002262CF,36
999800011671CF,31.8
999800013216CF,36
999800042463CF,48
999800019187SR,48
999800006466SR,60
999800046168CF,19.8
999800034622CF,43.8
999800037763CF,36
999800000330CF,43.625
999800011743SR,0
999800007937CF,40.2
999800042867SR,36
999800026637CF,31.8
999800020870SR,54
999800037194SR,36
999800034689SR,24
999800017309CF,19.8
999800039239CF,36
999800020294SR,36
999800029987CF,36
999800001465CF,36
999800029018SR,30
999800023093CF,36
999800046768CF,19.8
999800018819SR,42
999800017590CF,37.0356
999800020379SR,42
999800035288CF,36
999800002725SR,60
999800000562CF,19.8
999800046256SR,42
999800029835CF,36
999800005493CF,48
999800037465SR,36
999800015200SR,42
999800033545SR,24
999800036760CF,39.6
999800028157CF,31.8
999800015804SR,24
999800015224SR,24
999800044070CF,55.8
999800023694CF,43.8
999800017681CF,43.8
999800028095SR,54
999800004116SR,42
999800001993CF,55.8
999800038939CF,19.8
999800030411CF,55.8
999800023131CF,55.8
999800035988CF,24
999800014876CF,36
999800001048SR,42
999800045608CF,27.6
999800015780SR,42
999800016741CF,27.6
999800038166SR,24
999800016105CF,31.8
999800034701CF,27.6
999800020948CF,36
999800016163CF,55.8
999800000615CF,19.8
999800027096SR,0
999800025374SR,36
999800024752CF,31.8
999800034505CF,39.6
999800030179CF,27.6
999800042113SR,42
999800037064CF,48
999800030089CF,31.8
999800001621CF,36
999800043337CF,27.6
999800009827CF,27.6
999800035232CF,27.6
999800020940CF,39.6
999800022361SR,60
999800042854SR,54
999800018616CF,27.6
999800036704CF,19.8
999800008699SR,42
999800042829CF,39.6
999800030555CF,52.2
999800028404SR,36
999800025375CF,24
999800034601CF,19.8
999800005784CF,39.6
999800026494SR,54
999800000496SR,42
999800041034SR,60
999800031765SR,42
999800032645SR,18
999800031991CF,31.8
999800041397CF,19.8
999800044110CF,47.688
999800016610SR,36
999800016871CF,48
999800040287SR,42
999800011237CF,39.6
999800043166SR,60
999800027035SR,36
999800042766CF,33.5096
999800004529CF,43.8
999800020215CF,19.8
999800018394CF,19.8
999800009583SR,42
999800029368SR,24
999800028515SR,60
999800023001CF,19.8
999800010019SR,60
999800032106CF,43.8
999800013692CF,19.8
999800018642CF,55.8
999800022058SR,60
999800004442SR,30
999800024505CF,27.6
999800037861CF,31.8
999800033969CF,43.8
999800028147CF,39.6
999800038068CF,36.2049
999800049972SR,0
999800017805SR,24
999800037145CF,43.8
999800001260SR,60
999800014613CF,19.8
999800014360SR,60
999800006386SR,18
999800024300SR,18
999800017488CF,48
999800007449SR,24
999800025765CF,30.0098
999800012801CF,60
999800015835SR,42
999800040012CF,19.8
999800031388CF,27.6
999800004982SR,42
999800031413CF,60
999800024375CF,31.8
999800045299SR,30
999800036164SR,54
999800018304CF,36
999800004304SR,48
999800014485SR,36
999800016456CF,48
999800041349CF,31.8
999800019885CF,27.6
999800022800CF,19.8
999800034775CF,36
999800029684CF,48
999800023202CF,48
999800024581SR,60
999800018619CF,27.6
999800048580CF,36
999800031074SR,42
999800003650CF,36
999800031233CF,55.8
999800025173SR,42
999800006325CF,19.8
999800040089CF,36
999800015886SR,42
999800008177SR,42
999800013490CF,43.8
999800013433CF,49.1053
999800017156CF,19.8
999800002890SR,60
999800008776CF,19.8
999800039836SR,42
999800040156CF,43.8
999800044288CF,39.6
999800018626CF,39.6
999800029991SR,42
999800048976SR,0
999800043260CF,31.8
999800005175CF,40.2
999800034738CF,24
999800013577CF,31.8
999800004147SR,60
999800011067SR,24
999800008160CF,19.8
999800046143CF,55.8
999800002924CF,31.8
999800037635CF,19.8
999800005013SR,24
999800024840CF,16.2
999800024111SR,24
999800013731CF,36
999800023285CF,52.2
999800024336CF,36
999800031880CF,48
999800034618CF,19.8
999800030604SR,60
999800032362SR,36
999800019853SR,24
999800026826CF,31.8
999800046998CF,31.8
999800014912SR,42
999800011848SR,42
999800017839SR,36
999800014412SR,42
999800012798CF,36
999800032416CF,31.8
999800013361CF,43.0101
999800006153SR,36
999800016371SR,0
999800017271CF,36
999800026260CF,48
999800031303CF,31.8
999800014076SR,60
999800047177SR,60
999800031302SR,42
999800024174CF,27.6
999800020110SR,36
999800041649CF,28.2
999800009529SR,60
999800005269SR,0
999800002246SR,60
999800036290CF,55.8
999800004502CF,39.6
999800004377SR,60
999800027929CF,36
999800007387CF,19.8
999800008334CF,31.8
999800002429CF,48
999800010024CF,36
999800008218CF,60
999800045635CF,30.3811
999800049020CF,27.6
999800000502SR,60
999800025205CF,43.8
999800015811SR,42
999800024539SR,36
999800005194CF,40.2
999800005133CF,50.1273
999800042394CF,53.1474
999800011938CF,48
999800026899SR,60
999800022451CF,19.8
999800002123SR,60
999800022087CF,52.2
999800007115CF,24.9551
999800003332SR,36
999800027463CF,36
999800036066CF,48
999800032791CF,39.6
999800021686SR,36
999800008936CF,48
999800005237CF,19.8
999800002084CF,39.6
999800039509CF,36
999800003449CF,43.8
999800037983CF,43.8
999800026374CF,40.2
999800002415CF,48
999800033202CF,27.6
999800007055SR,48
999800007681SR,48
999800014568CF,31.8
999800013694SR,42
999800032019CF,43.8
999800001437CF,43.8
999800011995SR,42
999800044625CF,19.8
999800014997CF,55.8
999800026940CF,39.6
999800004020CF,27.6
999800028834SR,36
999800044982CF,24
999800049047CF,36
999800010285SR,36
999800042592CF,21.3187
999800039613SR,24
999800000139CF,48
999800013882CF,31.8
999800014325SR,42
999800025550CF,52.2
999800032574CF,55.8
999800013691SR,24
999800035075CF,43.5083
999800026429CF,43.8
999800014228SR,42
999800045549CF,55.8
999800023574SR,42
999800006782CF,40.2
999800044613CF,36
999800021866CF,39.6
999800002873CF,40.2
999800016176SR,60
999800044949CF,36
999800006798CF,43.8
999800004145SR,42
999800007653SR,42
999800028128SR,48
999800025365CF,39.6
999800030770SR,60
999800015862CF,39.6
999800047505CF,55.8
999800034111CF,36
999800048055CF,39.6
999800000959CF,43.56
999800002617CF,31.8
999800039806SR,36
999800004534CF,36
999800022782SR,36
999800011531SR,18
999800012675CF,27.6
999800032943SR,60
999800023452SR,60
999800018722CF,19.8
999800029587SR,42
999800049178CF,0
999800000085CF,31.8
999800024741SR,60
999800001523CF,43.8
999800012045CF,31.8
999800029844SR,42
999800027586CF,31.8
999800007311SR,36
999800038881SR,42
999800003465SR,60
999800035360SR,42
999800047011CF,31.8
999800012707SR,54
999800032148CF,31.8
999800037181CF,36
999800030753SR,36
999800036269CF,19.8
999800029902SR,60
999800020118SR,54
999800020830CF,55.8
999800011276SR,42
999800041332CF,36
999800015192CF,52.2
999800022471CF,55.8
999800013626CF,19.8
999800017834CF,43.8
999800012880CF,43.8
999800035437SR,60
999800046220CF,43.8
999800016149CF,36
999800023805CF,19.8
999800006185CF,29.8167
999800008035SR,54
999800017392CF,39.6
999800047550CF,31.8
999800027583SR,36
999800033436CF,43.8
999800014763SR,42
999800010500SR,42
999800044207SR,24
999800018575SR,60
999800000391SR,36
999800019925CF,19.8
999800025806SR,42
999800018993CF,27.3677
999800043725CF,55.8
999800026949CF,31.8
999800009672SR,60
999800020731SR,36
999800004326CF,52.2
999800032069SR,42
999800032609CF,23.8886
999800012509SR,30
999800023569CF,19.8
999800034249CF,27.6
999800014255CF,31.8
999800016089SR,18
999800048405CF,55.8
999800010979CF,19.8
999800026966CF,43.8
999800043015CF,24
999800033923SR,36
999800044954CF,27.6
999800041438SR,24
999800018670CF,43.8
999800033254CF,55.8
999800009326SR,36
999800045256SR,42
999800049170CF,0
999800019097CF,39.6
999800025557CF,36
999800029807CF,36
999800033897CF,55.8
999800011783CF,43.8
999800038950SR,42
999800034527CF,36
999800040332CF,19.8
999800000508CF,55.8
999800030315CF,19.8
999800019616SR,36
999800022838SR,36
999800032990CF,36
999800024802SR,42
999800029746CF,40.2
999800037919CF,31.8
999800005701CF,55.8
999800037692CF,52.2
999800015977CF,39.6
999800008170CF,19.8
999800032903SR,36
999800031543CF,19.8
999800040863CF,43.8
999800022308SR,0
999800018260SR,48
999800005802CF,19.8
999800044430CF,19.8
999800043564SR,60
999800032800CF,40.2
999800041736SR,48
999800008343CF,48
999800027927CF,48
999800037486CF,31.8
999800003430CF,36
999800043508CF,36
999800040742CF,19.8
999800037121CF,60
999800019222SR,60
999800040088CF,48
999800008797CF,19.8
999800028579SR,24
999800035312CF,43.8
999800025777CF,31.8
999800039319CF,43.8
999800017267CF,36
999800034622SR,36
999800002312CF,43.8
999800020761SR,60
999800042449CF,55.8
999800041926CF,60
999800043373SR,54
999800001876CF,31.8
999800032327CF,48
999800023239CF,43.8
999800014825CF,31.8
999800034626CF,55.8
999800006476SR,42
999800040250CF,43.8
999800032726CF,43.8
999800048269CF,40.2
999800008935CF,19.8
999800003430SR,36
999800030627SR,24
999800033080CF,43.0588
999800037734CF,40.2
999800041031CF,19.8
999800036042CF,36
999800035678SR,42
999800044013CF,52.2
999800035191SR,60
999800027559CF,19.8
999800017520CF,36
999800023604CF,55.8
999800002165SR,42
999800020628SR,24
999800045107CF,55.8
999800030006CF,36
999800011659CF,39.6
999800025933SR,42
999800015215CF,43.8
999800024451SR,36
999800034347CF,52.2
999800003000CF,40.2
999800002455CF,19.8
999800019667CF,25.47
999800044048CF,55.8
999800028320CF,43.4426
999800008304CF,40.6966
999800042164CF,48
999800006536CF,48
999800017891CF,55.8
999800013868SR,42
999800021230SR,36
999800039416SR,36
999800037658CF,43.8
999800040597CF,40.2
999800045983CF,43.6571
999800016411CF,48
999800046736CF,19.8
999800022191CF,48
999800031139CF,48
999800046742SR,36
999800018263CF,55.8
999800009570SR,42
999800041945CF,43.8
999800012407CF,43.8
999800036304SR,42
999800043454CF,43.8
999800036195SR,24
999800002287CF,31.8
999800018319SR,36
999800010199CF,32.4
999800028086SR,36
999800022709CF,19.8
999800004201SR,36
999800034146SR,48
999800005811SR,18
999800012836CF,39.6
999800032177SR,42
999800048371CF,43.8
999800030538SR,60
999800040268CF,39.6
999800039699CF,39.6
999800007477CF,43.8
999800044151SR,60
999800048051SR,42
999800047836SR,48
999800006258CF,19.8
999800015417SR,42
999800012395CF,40.2
999800040918CF,36
999800024431CF,39.6
