买方客户,得分
999800007017SR,60
999800029227CF,39.6
999800046700SR,36
999800027085SR,60
999800028676SR,60
999800031457SR,60
999800014251SR,24
999800029700SR,36
999800004270SR,60
999800011307SR,60
999800021457SR,60
999800006452CF,43.8
999800046565SR,60
999800011043SR,60
999800033818SR,42
999800016572SR,60
999800016342CF,36
999800025055SR,42
999800035866CF,48
999800020551SR,60
999800010296SR,60
999800046480SR,54
999800008665SR,54
999800041021SR,54
999800031590SR,60
999800043575SR,54
999800009210SR,54
999800047239SR,42
999800014572SR,60
999800034682SR,24
999800027576SR,48
999800016066SR,36
999800002027SR,54
999800036832SR,60
999800029990SR,24
999800034879SR,60
999800011594SR,60
999800034409SR,54
999800027468SR,36
999800003991SR,60
999800038670SR,54
999800021506SR,54
999800038041SR,36
999800005650SR,54
999800034483SR,60
999800042812SR,60
999800000004SR,60
999800048907SR,36
999800009985SR,42
999800041002SR,54
999800040675SR,48
999800006087SR,60
999800030847SR,60
999800014862SR,60
999800040034CF,43.8
999800045348SR,42
999800037527SR,42
999800034204SR,60
999800033170SR,42
999800030052SR,60
999800000733SR,60
999800001405SR,42
999800008214CF,48
999800007099SR,60
999800045526SR,42
999800025765SR,60
999800026692SR,54
999800036284SR,60
999800041968SR,42
999800020181CF,39.6
999800038732SR,42
999800005083SR,60
999800037568SR,60
999800017867SR,42
999800030702SR,60
999800014014SR,60
999800022787SR,60
999800002553SR,60
999800025857SR,42
999800039675SR,42
999800046032SR,54
999800024784SR,42
999800025103SR,60
999800032561SR,36
999800012392SR,60
999800043527CF,36
999800004324SR,42
999800041642SR,54
999800024125SR,54
999800045356SR,24
999800014580SR,60
999800020501SR,60
999800038355CF,48
999800020636CF,39.6
999800038704SR,36
999800023714SR,60
999800035867SR,30
999800005210SR,54
999800014068SR,60
999800014458SR,60
999800001419SR,42
999800037427SR,42
999800034993SR,36
999800020397SR,42
999800010871SR,60
999800001037SR,42
999800006835SR,60
999800026657SR,60
999800002783SR,54
999800019467SR,60
999800010670SR,24
999800001918SR,60
999800000831SR,48
999800020016SR,36
999800008375SR,60
999800010894SR,42
999800040933CF,36
999800011126SR,42
999800021548SR,60
999800046864SR,60
999800037274SR,60
999800046715SR,60
999800043249SR,60
999800025489SR,54
999800027232SR,60
999800011706SR,60
999800032495SR,48
999800030813SR,48
999800012874CF,31.8
999800008732SR,48
999800046310SR,60
999800013196SR,42
999800024343CF,55.8
999800025457SR,54
999800011701SR,60
999800020388CF,43.8
999800041189SR,36
999800045685SR,36
999800012055SR,48
999800034422SR,60
999800010893SR,42
999800013452SR,42
999800032611CF,19.8
999800037210SR,60
999800009286SR,60
999800030684SR,60
999800008131SR,60
999800042312SR,36
999800007664SR,60
999800013123SR,60
999800043184SR,60
999800045970SR,60
999800008983SR,60
999800030679SR,42
999800023423SR,54
999800024705CF,31.8
999800009367SR,60
999800028653SR,60
999800026345SR,54
999800010440SR,60
999800005961SR,60
999800043940SR,60
999800003611SR,60
999800040900SR,60
999800004274SR,60
999800004394SR,60
999800024431SR,36
999800041012SR,60
999800006605CF,48
999800010083SR,60
999800022487SR,36
999800039922SR,42
999800046029SR,60
999800035809SR,36
999800043812SR,54
999800011197SR,60
999800036847SR,54
999800008570SR,54
999800041310SR,60
999800016654CF,43.8
999800041570SR,18
999800010381SR,42
999800003061SR,54
999800014885SR,42
999800016224SR,42
999800013867SR,42
999800034607SR,42
999800046448SR,54
999800025858SR,36
